item_id,title,topic,difficulty,content,sample_question,sample_answer
ITEM001,IELTS Reading: Skimming & Scanning - easy - Set 1,IELTS Reading: Skimming & Scanning,easy,"IELTS Reading: Skimming & Scanning. This is a easy level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM002,IELTS Reading: Skimming & Scanning - easy - Set 2,IELTS Reading: Skimming & Scanning,easy,"IELTS Reading: Skimming & Scanning. This is a easy level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM003,IELTS Reading: Skimming & Scanning - easy - Set 3,IELTS Reading: Skimming & Scanning,easy,"IELTS Reading: Skimming & Scanning. This is a easy level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM004,IELTS Reading: Skimming & Scanning - medium - Set 1,IELTS Reading: Skimming & Scanning,medium,"IELTS Reading: Skimming & Scanning. This is a medium level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM005,IELTS Reading: Skimming & Scanning - medium - Set 2,IELTS Reading: Skimming & Scanning,medium,"IELTS Reading: Skimming & Scanning. This is a medium level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM006,IELTS Reading: Skimming & Scanning - medium - Set 3,IELTS Reading: Skimming & Scanning,medium,"IELTS Reading: Skimming & Scanning. This is a medium level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM007,IELTS Reading: Skimming & Scanning - hard - Set 1,IELTS Reading: Skimming & Scanning,hard,"IELTS Reading: Skimming & Scanning. This is a hard level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM008,IELTS Reading: Skimming & Scanning - hard - Set 2,IELTS Reading: Skimming & Scanning,hard,"IELTS Reading: Skimming & Scanning. This is a hard level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM009,IELTS Reading: Skimming & Scanning - hard - Set 3,IELTS Reading: Skimming & Scanning,hard,"IELTS Reading: Skimming & Scanning. This is a hard level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM010,IELTS Reading: Inference Skills - easy - Set 1,IELTS Reading: Inference Skills,easy,"IELTS Reading: Inference Skills. This is a easy level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM011,IELTS Reading: Inference Skills - easy - Set 2,IELTS Reading: Inference Skills,easy,"IELTS Reading: Inference Skills. This is a easy level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM012,IELTS Reading: Inference Skills - easy - Set 3,IELTS Reading: Inference Skills,easy,"IELTS Reading: Inference Skills. This is a easy level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM013,IELTS Reading: Inference Skills - medium - Set 1,IELTS Reading: Inference Skills,medium,"IELTS Reading: Inference Skills. This is a medium level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM014,IELTS Reading: Inference Skills - medium - Set 2,IELTS Reading: Inference Skills,medium,"IELTS Reading: Inference Skills. This is a medium level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM015,IELTS Reading: Inference Skills - medium - Set 3,IELTS Reading: Inference Skills,medium,"IELTS Reading: Inference Skills. This is a medium level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM016,IELTS Reading: Inference Skills - hard - Set 1,IELTS Reading: Inference Skills,hard,"IELTS Reading: Inference Skills. This is a hard level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM017,IELTS Reading: Inference Skills - hard - Set 2,IELTS Reading: Inference Skills,hard,"IELTS Reading: Inference Skills. This is a hard level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM018,IELTS Reading: Inference Skills - hard - Set 3,IELTS Reading: Inference Skills,hard,"IELTS Reading: Inference Skills. This is a hard level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM019,IELTS Writing Task 1: Describing Graphs - easy - Set 1,IELTS Writing Task 1: Describing Graphs,easy,"IELTS Writing Task 1: Describing Graphs. This is a easy level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Summarize the key information from the graph in 150 words.,Model summary: The graph shows ...
ITEM020,IELTS Writing Task 1: Describing Graphs - easy - Set 2,IELTS Writing Task 1: Describing Graphs,easy,"IELTS Writing Task 1: Describing Graphs. This is a easy level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Summarize the key information from the graph in 150 words.,Model summary: The graph shows ...
ITEM021,IELTS Writing Task 1: Describing Graphs - easy - Set 3,IELTS Writing Task 1: Describing Graphs,easy,"IELTS Writing Task 1: Describing Graphs. This is a easy level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Summarize the key information from the graph in 150 words.,Model summary: The graph shows ...
ITEM022,IELTS Writing Task 1: Describing Graphs - medium - Set 1,IELTS Writing Task 1: Describing Graphs,medium,"IELTS Writing Task 1: Describing Graphs. This is a medium level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Summarize the key information from the graph in 150 words.,Model summary: The graph shows ...
ITEM023,IELTS Writing Task 1: Describing Graphs - medium - Set 2,IELTS Writing Task 1: Describing Graphs,medium,"IELTS Writing Task 1: Describing Graphs. This is a medium level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Summarize the key information from the graph in 150 words.,Model summary: The graph shows ...
ITEM024,IELTS Writing Task 1: Describing Graphs - medium - Set 3,IELTS Writing Task 1: Describing Graphs,medium,"IELTS Writing Task 1: Describing Graphs. This is a medium level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Summarize the key information from the graph in 150 words.,Model summary: The graph shows ...
ITEM025,IELTS Writing Task 1: Describing Graphs - hard - Set 1,IELTS Writing Task 1: Describing Graphs,hard,"IELTS Writing Task 1: Describing Graphs. This is a hard level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Summarize the key information from the graph in 150 words.,Model summary: The graph shows ...
ITEM026,IELTS Writing Task 1: Describing Graphs - hard - Set 2,IELTS Writing Task 1: Describing Graphs,hard,"IELTS Writing Task 1: Describing Graphs. This is a hard level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Summarize the key information from the graph in 150 words.,Model summary: The graph shows ...
ITEM027,IELTS Writing Task 1: Describing Graphs - hard - Set 3,IELTS Writing Task 1: Describing Graphs,hard,"IELTS Writing Task 1: Describing Graphs. This is a hard level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Summarize the key information from the graph in 150 words.,Model summary: The graph shows ...
ITEM028,IELTS Writing Task 2: Opinion Essays - easy - Set 1,IELTS Writing Task 2: Opinion Essays,easy,"IELTS Writing Task 2: Opinion Essays. This is a easy level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Write an opinion essay on the given prompt (250 words).,Model essay excerpt: In my opinion ...
ITEM029,IELTS Writing Task 2: Opinion Essays - easy - Set 2,IELTS Writing Task 2: Opinion Essays,easy,"IELTS Writing Task 2: Opinion Essays. This is a easy level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Write an opinion essay on the given prompt (250 words).,Model essay excerpt: In my opinion ...
ITEM030,IELTS Writing Task 2: Opinion Essays - easy - Set 3,IELTS Writing Task 2: Opinion Essays,easy,"IELTS Writing Task 2: Opinion Essays. This is a easy level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Write an opinion essay on the given prompt (250 words).,Model essay excerpt: In my opinion ...
ITEM031,IELTS Writing Task 2: Opinion Essays - medium - Set 1,IELTS Writing Task 2: Opinion Essays,medium,"IELTS Writing Task 2: Opinion Essays. This is a medium level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Write an opinion essay on the given prompt (250 words).,Model essay excerpt: In my opinion ...
ITEM032,IELTS Writing Task 2: Opinion Essays - medium - Set 2,IELTS Writing Task 2: Opinion Essays,medium,"IELTS Writing Task 2: Opinion Essays. This is a medium level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Write an opinion essay on the given prompt (250 words).,Model essay excerpt: In my opinion ...
ITEM033,IELTS Writing Task 2: Opinion Essays - medium - Set 3,IELTS Writing Task 2: Opinion Essays,medium,"IELTS Writing Task 2: Opinion Essays. This is a medium level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Write an opinion essay on the given prompt (250 words).,Model essay excerpt: In my opinion ...
ITEM034,IELTS Writing Task 2: Opinion Essays - hard - Set 1,IELTS Writing Task 2: Opinion Essays,hard,"IELTS Writing Task 2: Opinion Essays. This is a hard level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Write an opinion essay on the given prompt (250 words).,Model essay excerpt: In my opinion ...
ITEM035,IELTS Writing Task 2: Opinion Essays - hard - Set 2,IELTS Writing Task 2: Opinion Essays,hard,"IELTS Writing Task 2: Opinion Essays. This is a hard level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Write an opinion essay on the given prompt (250 words).,Model essay excerpt: In my opinion ...
ITEM036,IELTS Writing Task 2: Opinion Essays - hard - Set 3,IELTS Writing Task 2: Opinion Essays,hard,"IELTS Writing Task 2: Opinion Essays. This is a hard level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Write an opinion essay on the given prompt (250 words).,Model essay excerpt: In my opinion ...
ITEM037,IELTS Listening: Identifying Keywords - easy - Set 1,IELTS Listening: Identifying Keywords,easy,"IELTS Listening: Identifying Keywords. This is a easy level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Listen and fill the missing words in the transcript.,Filled transcript: ...
ITEM038,IELTS Listening: Identifying Keywords - easy - Set 2,IELTS Listening: Identifying Keywords,easy,"IELTS Listening: Identifying Keywords. This is a easy level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Listen and fill the missing words in the transcript.,Filled transcript: ...
ITEM039,IELTS Listening: Identifying Keywords - easy - Set 3,IELTS Listening: Identifying Keywords,easy,"IELTS Listening: Identifying Keywords. This is a easy level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Listen and fill the missing words in the transcript.,Filled transcript: ...
ITEM040,IELTS Listening: Identifying Keywords - medium - Set 1,IELTS Listening: Identifying Keywords,medium,"IELTS Listening: Identifying Keywords. This is a medium level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Listen and fill the missing words in the transcript.,Filled transcript: ...
ITEM041,IELTS Listening: Identifying Keywords - medium - Set 2,IELTS Listening: Identifying Keywords,medium,"IELTS Listening: Identifying Keywords. This is a medium level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Listen and fill the missing words in the transcript.,Filled transcript: ...
ITEM042,IELTS Listening: Identifying Keywords - medium - Set 3,IELTS Listening: Identifying Keywords,medium,"IELTS Listening: Identifying Keywords. This is a medium level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Listen and fill the missing words in the transcript.,Filled transcript: ...
ITEM043,IELTS Listening: Identifying Keywords - hard - Set 1,IELTS Listening: Identifying Keywords,hard,"IELTS Listening: Identifying Keywords. This is a hard level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Listen and fill the missing words in the transcript.,Filled transcript: ...
ITEM044,IELTS Listening: Identifying Keywords - hard - Set 2,IELTS Listening: Identifying Keywords,hard,"IELTS Listening: Identifying Keywords. This is a hard level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Listen and fill the missing words in the transcript.,Filled transcript: ...
ITEM045,IELTS Listening: Identifying Keywords - hard - Set 3,IELTS Listening: Identifying Keywords,hard,"IELTS Listening: Identifying Keywords. This is a hard level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Listen and fill the missing words in the transcript.,Filled transcript: ...
ITEM046,IELTS Speaking Part 1: Introducing Yourself - easy - Set 1,IELTS Speaking Part 1: Introducing Yourself,easy,"IELTS Speaking Part 1: Introducing Yourself. This is a easy level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Introduce yourself: hobbies and work/study.,Model answer: I am ...
ITEM047,IELTS Speaking Part 1: Introducing Yourself - easy - Set 2,IELTS Speaking Part 1: Introducing Yourself,easy,"IELTS Speaking Part 1: Introducing Yourself. This is a easy level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Introduce yourself: hobbies and work/study.,Model answer: I am ...
ITEM048,IELTS Speaking Part 1: Introducing Yourself - easy - Set 3,IELTS Speaking Part 1: Introducing Yourself,easy,"IELTS Speaking Part 1: Introducing Yourself. This is a easy level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Introduce yourself: hobbies and work/study.,Model answer: I am ...
ITEM049,IELTS Speaking Part 1: Introducing Yourself - medium - Set 1,IELTS Speaking Part 1: Introducing Yourself,medium,"IELTS Speaking Part 1: Introducing Yourself. This is a medium level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Introduce yourself: hobbies and work/study.,Model answer: I am ...
ITEM050,IELTS Speaking Part 1: Introducing Yourself - medium - Set 2,IELTS Speaking Part 1: Introducing Yourself,medium,"IELTS Speaking Part 1: Introducing Yourself. This is a medium level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Introduce yourself: hobbies and work/study.,Model answer: I am ...
ITEM051,IELTS Speaking Part 1: Introducing Yourself - medium - Set 3,IELTS Speaking Part 1: Introducing Yourself,medium,"IELTS Speaking Part 1: Introducing Yourself. This is a medium level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Introduce yourself: hobbies and work/study.,Model answer: I am ...
ITEM052,IELTS Speaking Part 1: Introducing Yourself - hard - Set 1,IELTS Speaking Part 1: Introducing Yourself,hard,"IELTS Speaking Part 1: Introducing Yourself. This is a hard level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Introduce yourself: hobbies and work/study.,Model answer: I am ...
ITEM053,IELTS Speaking Part 1: Introducing Yourself - hard - Set 2,IELTS Speaking Part 1: Introducing Yourself,hard,"IELTS Speaking Part 1: Introducing Yourself. This is a hard level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Introduce yourself: hobbies and work/study.,Model answer: I am ...
ITEM054,IELTS Speaking Part 1: Introducing Yourself - hard - Set 3,IELTS Speaking Part 1: Introducing Yourself,hard,"IELTS Speaking Part 1: Introducing Yourself. This is a hard level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Introduce yourself: hobbies and work/study.,Model answer: I am ...
ITEM055,IELTS Speaking Part 2: Cue Card Practice - easy - Set 1,IELTS Speaking Part 2: Cue Card Practice,easy,"IELTS Speaking Part 2: Cue Card Practice. This is a easy level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Talk for 2 minutes on the cue card topic.,Model talk outline: ...
ITEM056,IELTS Speaking Part 2: Cue Card Practice - easy - Set 2,IELTS Speaking Part 2: Cue Card Practice,easy,"IELTS Speaking Part 2: Cue Card Practice. This is a easy level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Talk for 2 minutes on the cue card topic.,Model talk outline: ...
ITEM057,IELTS Speaking Part 2: Cue Card Practice - easy - Set 3,IELTS Speaking Part 2: Cue Card Practice,easy,"IELTS Speaking Part 2: Cue Card Practice. This is a easy level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Talk for 2 minutes on the cue card topic.,Model talk outline: ...
ITEM058,IELTS Speaking Part 2: Cue Card Practice - medium - Set 1,IELTS Speaking Part 2: Cue Card Practice,medium,"IELTS Speaking Part 2: Cue Card Practice. This is a medium level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Talk for 2 minutes on the cue card topic.,Model talk outline: ...
ITEM059,IELTS Speaking Part 2: Cue Card Practice - medium - Set 2,IELTS Speaking Part 2: Cue Card Practice,medium,"IELTS Speaking Part 2: Cue Card Practice. This is a medium level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Talk for 2 minutes on the cue card topic.,Model talk outline: ...
ITEM060,IELTS Speaking Part 2: Cue Card Practice - medium - Set 3,IELTS Speaking Part 2: Cue Card Practice,medium,"IELTS Speaking Part 2: Cue Card Practice. This is a medium level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Talk for 2 minutes on the cue card topic.,Model talk outline: ...
ITEM061,IELTS Speaking Part 2: Cue Card Practice - hard - Set 1,IELTS Speaking Part 2: Cue Card Practice,hard,"IELTS Speaking Part 2: Cue Card Practice. This is a hard level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Talk for 2 minutes on the cue card topic.,Model talk outline: ...
ITEM062,IELTS Speaking Part 2: Cue Card Practice - hard - Set 2,IELTS Speaking Part 2: Cue Card Practice,hard,"IELTS Speaking Part 2: Cue Card Practice. This is a hard level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Talk for 2 minutes on the cue card topic.,Model talk outline: ...
ITEM063,IELTS Speaking Part 2: Cue Card Practice - hard - Set 3,IELTS Speaking Part 2: Cue Card Practice,hard,"IELTS Speaking Part 2: Cue Card Practice. This is a hard level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Talk for 2 minutes on the cue card topic.,Model talk outline: ...
ITEM064,IELTS Speaking Part 3: Discussion - easy - Set 1,IELTS Speaking Part 3: Discussion,easy,"IELTS Speaking Part 3: Discussion. This is a easy level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Discuss reasons and give examples for the topic.,Model discussion points: ...
ITEM065,IELTS Speaking Part 3: Discussion - easy - Set 2,IELTS Speaking Part 3: Discussion,easy,"IELTS Speaking Part 3: Discussion. This is a easy level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Discuss reasons and give examples for the topic.,Model discussion points: ...
ITEM066,IELTS Speaking Part 3: Discussion - easy - Set 3,IELTS Speaking Part 3: Discussion,easy,"IELTS Speaking Part 3: Discussion. This is a easy level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Discuss reasons and give examples for the topic.,Model discussion points: ...
ITEM067,IELTS Speaking Part 3: Discussion - medium - Set 1,IELTS Speaking Part 3: Discussion,medium,"IELTS Speaking Part 3: Discussion. This is a medium level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Discuss reasons and give examples for the topic.,Model discussion points: ...
ITEM068,IELTS Speaking Part 3: Discussion - medium - Set 2,IELTS Speaking Part 3: Discussion,medium,"IELTS Speaking Part 3: Discussion. This is a medium level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Discuss reasons and give examples for the topic.,Model discussion points: ...
ITEM069,IELTS Speaking Part 3: Discussion - medium - Set 3,IELTS Speaking Part 3: Discussion,medium,"IELTS Speaking Part 3: Discussion. This is a medium level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Discuss reasons and give examples for the topic.,Model discussion points: ...
ITEM070,IELTS Speaking Part 3: Discussion - hard - Set 1,IELTS Speaking Part 3: Discussion,hard,"IELTS Speaking Part 3: Discussion. This is a hard level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Discuss reasons and give examples for the topic.,Model discussion points: ...
ITEM071,IELTS Speaking Part 3: Discussion - hard - Set 2,IELTS Speaking Part 3: Discussion,hard,"IELTS Speaking Part 3: Discussion. This is a hard level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Discuss reasons and give examples for the topic.,Model discussion points: ...
ITEM072,IELTS Speaking Part 3: Discussion - hard - Set 3,IELTS Speaking Part 3: Discussion,hard,"IELTS Speaking Part 3: Discussion. This is a hard level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Discuss reasons and give examples for the topic.,Model discussion points: ...
